Altium Designer Pick and Place Locations
C:\Users\Satyam.DESKTOP-S570OAU\OneDrive - Vylt Technologies Private Limited\Altium_Designs\SCOM_2_IN_1_JLC_STACKUP\Project Outputs for SCOM_2_IN_1_JLC_STACKUP\Pick Place\Pick Place for SCOM_2_IN_1_JLC_STACKUP.csv

========================================================================================================================
File Design Information:

Date:       05-03-25
Time:       18:30
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"TP1","TopLayer","17.5000","68.0000","90",""
"R12","TopLayer","55.0000","40.0000","90","RES_0603"
"R9","TopLayer","55.0000","43.0000","90","RES_0603"
"C53","TopLayer","85.5000","50.7500","90","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"R55","TopLayer","132.0000","33.5210","180","RES_0603"
"D9","TopLayer","132.0000","23.7500","180","LED CLEAR 1206 SMD"
"TP8","TopLayer","80.5000","65.0000","90",""
"C16","TopLayer","48.7500","18.3000","270","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"C15","TopLayer","46.5000","18.2500","270","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"R49","TopLayer","132.0000","31.6600","180","RES_0603"
"D7","TopLayer","132.0000","21.7500","180","LED CLEAR 1206 SMD"
"R53","TopLayer","39.3502","14.2500","180","RES_0603"
"R52","TopLayer","44.5000","14.2500","180","RES_0603"
"R50","TopLayer","25.5148","14.2500","0","RES_0603"
"M3","TopLayer","117.8700","12.2500","180","CO2 accuracy of ±(30 ppm + 3% MV) @400-10000 ppm"
"R48","TopLayer","86.5000","3.4896","180","RES_0201"
"J7","TopLayer","89.4000","3.5000","270","uFL_50R"
"M2","TopLayer","74.7500","36.2500","0","ESP32-WROOM-32E Module"
"R42","TopLayer","73.2750","51.6267","180","RES_0603"
"Q4","TopLayer","73.4500","54.8500","0","MMBT2222A"
"C44","TopLayer","87.7500","67.1500","180","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"C43","TopLayer","87.7500","65.1500","180","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"C42","TopLayer","87.7500","63.1500","180","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
